2025-02-01 12:31:22,881 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:08:04,631 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:08:04,640 | INFO | root | Gerar análises de vendas...
2025-02-01 13:08:04,642 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:08:04,647 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:08:04,647 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:08:04,814 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:08:06,805 | ERROR | root | Não foi possivel gerar todas as analises, erro: "['Produto'] not in index"
2025-02-01 13:09:01,838 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:09:01,848 | INFO | root | Gerar análises de vendas...
2025-02-01 13:09:01,850 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:09:01,854 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:09:01,854 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:09:02,024 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:09:08,207 | ERROR | root | Não foi possivel gerar todas as analises, erro: "['Produto'] not in index"
2025-02-01 13:10:21,561 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:10:21,572 | INFO | root | Gerar análises de vendas...
2025-02-01 13:10:21,575 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:10:21,579 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:10:21,579 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:10:21,752 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:10:22,883 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Column not found: Quantidade'
2025-02-01 13:11:14,302 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:11:14,312 | INFO | root | Gerar análises de vendas...
2025-02-01 13:11:14,315 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:11:14,319 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:11:14,319 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:11:14,488 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:11:22,295 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Column not found: Quantidade'
2025-02-01 13:12:16,750 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:12:16,760 | INFO | root | Gerar análises de vendas...
2025-02-01 13:12:16,763 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:12:16,767 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:12:16,767 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:12:16,935 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:12:18,387 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Column not found: Quantidade'
2025-02-01 13:12:31,679 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:12:31,690 | INFO | root | Gerar análises de vendas...
2025-02-01 13:12:31,692 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:12:31,697 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:12:31,697 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:12:31,868 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:12:32,962 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Column not found: Quantidade'
2025-02-01 13:14:10,261 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:14:10,272 | INFO | root | Gerar análises de vendas...
2025-02-01 13:14:10,275 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:14:10,280 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:14:10,280 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:14:10,455 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:14:11,455 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:14:11,455 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Column not found: Quantidade'
2025-02-01 13:14:57,111 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:14:57,122 | INFO | root | Gerar análises de vendas...
2025-02-01 13:14:57,124 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:14:57,128 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:14:57,128 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:14:57,297 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:14:58,514 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:14:58,517 | ERROR | root | Não foi possivel gerar todas as analises, erro: "['Produto'] not in index"
2025-02-01 13:18:00,874 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:18:00,884 | INFO | root | Gerar análises de vendas...
2025-02-01 13:18:00,887 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:18:00,892 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:18:00,892 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:18:01,062 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:18:24,956 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:18:24,960 | ERROR | root | Não foi possivel gerar todas as analises, erro: "['Produto'] not in index"
2025-02-01 13:19:16,064 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:19:16,074 | INFO | root | Gerar análises de vendas...
2025-02-01 13:19:16,077 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:19:16,082 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:19:16,082 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:19:16,253 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:19:19,605 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:19:19,608 | ERROR | root | Não foi possivel gerar todas as analises, erro: "['Produto'] not in index"
2025-02-01 13:20:31,486 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:20:31,496 | INFO | root | Gerar análises de vendas...
2025-02-01 13:20:31,499 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:20:31,503 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:20:31,503 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:20:31,673 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:20:31,708 | ERROR | root | Não foi possivel gerar todas as analises, erro: name 'receita_por_produto_df' is not defined
2025-02-01 13:20:52,175 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:20:52,185 | INFO | root | Gerar análises de vendas...
2025-02-01 13:20:52,188 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:20:52,192 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:20:52,192 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:20:52,363 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:20:55,938 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:20:55,941 | ERROR | root | Não foi possivel gerar todas as analises, erro: "['Produto'] not in index"
2025-02-01 13:22:38,972 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:22:38,982 | INFO | root | Gerar análises de vendas...
2025-02-01 13:22:38,985 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:22:38,988 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:22:38,989 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:22:39,154 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:22:40,694 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:22:40,698 | ERROR | root | Não foi possivel gerar todas as analises, erro: "['Produto'] not in index"
2025-02-01 13:23:10,713 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:23:10,723 | INFO | root | Gerar análises de vendas...
2025-02-01 13:23:10,726 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:23:10,730 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:23:10,730 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:23:10,895 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:23:12,553 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:24:12,795 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:24:12,805 | INFO | root | Gerar análises de vendas...
2025-02-01 13:24:12,808 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:24:12,813 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:24:12,813 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:24:12,996 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:24:14,632 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:25:36,288 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:25:36,299 | INFO | root | Gerar análises de vendas...
2025-02-01 13:25:36,302 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:25:36,306 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:25:36,306 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:25:36,475 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:25:37,760 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:30:34,838 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:30:34,848 | INFO | root | Gerar análises de vendas...
2025-02-01 13:30:34,850 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:30:34,852 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:30:34,857 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:30:34,857 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:30:35,027 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:30:37,898 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:30:37,903 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:31:15,860 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:31:15,870 | INFO | root | Gerar análises de vendas...
2025-02-01 13:31:15,873 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:31:15,876 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:31:15,880 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:31:15,880 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:31:16,053 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:31:17,139 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:31:17,143 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:31:17,148 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_produtos_mais_vendidos_2025-02-01.csv
2025-02-01 13:31:17,148 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_produtos_mais_vendidos 
2025-02-01 13:31:57,051 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:31:57,063 | INFO | root | Gerar análises de vendas...
2025-02-01 13:31:57,065 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:31:57,067 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:31:57,072 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:31:57,072 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:31:57,252 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Receita Total
2025-02-01 13:31:59,356 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:31:59,362 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_produtos_mais_vendidos_2025-02-01.csv
2025-02-01 13:31:59,362 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_produtos_mais_vendidos 
2025-02-01 13:31:59,456 | INFO | AnaliseClientes | Criada a tabela com eixo x: Produto e eixo y: Quantidade
2025-02-01 13:32:01,022 | INFO | root | Gerar análises de clientes...
2025-02-01 13:32:01,023 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:32:01,030 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_totalgasto_por_cliente_2025-02-01.csv
2025-02-01 13:32:01,031 | INFO | AnaliseClientes | Tabela guardada: total de compras cliente.
2025-02-01 13:32:01,099 | WARNING | AnaliseClientes | Nenhuma coluna válida encontrada para gerar o gráfico.
2025-02-01 13:32:01,099 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:33:15,479 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:33:15,490 | INFO | root | Gerar análises de vendas...
2025-02-01 13:33:15,492 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:33:15,495 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:33:15,499 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:33:15,500 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
